Date,Rule,Collection,Type,Description,Reference,Detection,Hash,Link VT,Hashtag
2020-02-28 22:09,APT_Turla_KopiLuwak_JS_Jul19_1,Russian Threat Groups,Valhalla Rule Feed Only,Detects Turla group KopiLuwak JS,https://securelist.com/turla-renews-its-arsenal-with-topinambour/91687/,55 / 72,ca3afa0692cd16113c6186775635dc04d73fbe77d6ab654c93276e96bdee23dd,https://www.virustotal.com/gui/file/ca3afa0692cd16113c6186775635dc04d73fbe77d6ab654c93276e96bdee23dd,#apt #turla #kopiluwak #russianthreatgroups #apt_turla_kopiluwak_js_jul19_1
2020-02-28 21:44,APT_Turla_KopiLuwak_JS_Jul19_1,Russian Threat Groups,Valhalla Rule Feed Only,Detects Turla group KopiLuwak JS,https://securelist.com/turla-renews-its-arsenal-with-topinambour/91687/,55 / 73,f0bf51edf512c6a7f9a970ccb3ce932268b76424b0d604f694d7a573faac68b7,https://www.virustotal.com/gui/file/f0bf51edf512c6a7f9a970ccb3ce932268b76424b0d604f694d7a573faac68b7,#apt #turla #kopiluwak #russianthreatgroups #apt_turla_kopiluwak_js_jul19_1
2020-02-28 21:39,APT_Turla_KopiLuwak_JS_Jul19_1,Russian Threat Groups,Valhalla Rule Feed Only,Detects Turla group KopiLuwak JS,https://securelist.com/turla-renews-its-arsenal-with-topinambour/91687/,54 / 73,b1565ccff09c99ee70fc4db223a83044761e51ace73d133a0b78052d51a50572,https://www.virustotal.com/gui/file/b1565ccff09c99ee70fc4db223a83044761e51ace73d133a0b78052d51a50572,#apt #turla #kopiluwak #russianthreatgroups #apt_turla_kopiluwak_js_jul19_1
2020-02-28 21:31,APT_Turla_KopiLuwak_JS_Jul19_1,Russian Threat Groups,Valhalla Rule Feed Only,Detects Turla group KopiLuwak JS,https://securelist.com/turla-renews-its-arsenal-with-topinambour/91687/,53 / 71,812e817abaca2fe72315739479de4a846e5d2587af62256361045d24cf4c38cc,https://www.virustotal.com/gui/file/812e817abaca2fe72315739479de4a846e5d2587af62256361045d24cf4c38cc,#apt #turla #kopiluwak #russianthreatgroups #apt_turla_kopiluwak_js_jul19_1
2020-02-28 20:58,APT_Turla_KopiLuwak_JS_Jul19_1,Russian Threat Groups,Valhalla Rule Feed Only,Detects Turla group KopiLuwak JS,https://securelist.com/turla-renews-its-arsenal-with-topinambour/91687/,54 / 72,5200f3e63dce037a5360d2be8b541b4d97fe721456edcc9a238aa5f78e5a9ee5,https://www.virustotal.com/gui/file/5200f3e63dce037a5360d2be8b541b4d97fe721456edcc9a238aa5f78e5a9ee5,#apt #turla #kopiluwak #russianthreatgroups #apt_turla_kopiluwak_js_jul19_1
2020-02-28 19:46,APT_Turla_KopiLuwak_JS_Jul19_1,Russian Threat Groups,Valhalla Rule Feed Only,Detects Turla group KopiLuwak JS,https://securelist.com/turla-renews-its-arsenal-with-topinambour/91687/,60 / 73,4996b348d3673925c08140f1d084c607160993f7aa51fd7663ed41e512a9da68,https://www.virustotal.com/gui/file/4996b348d3673925c08140f1d084c607160993f7aa51fd7663ed41e512a9da68,#apt #turla #kopiluwak #russianthreatgroups #apt_turla_kopiluwak_js_jul19_1
2020-02-28 17:52,APT_Turla_KopiLuwak_JS_Jul19_1,Russian Threat Groups,Valhalla Rule Feed Only,Detects Turla group KopiLuwak JS,https://securelist.com/turla-renews-its-arsenal-with-topinambour/91687/,56 / 73,807e019daee0d8d05abf1c304ec24e41096329ae56d1ae066d701748e3ecb69e,https://www.virustotal.com/gui/file/807e019daee0d8d05abf1c304ec24e41096329ae56d1ae066d701748e3ecb69e,#apt #turla #kopiluwak #russianthreatgroups #apt_turla_kopiluwak_js_jul19_1
2020-02-28 17:19,APT_Turla_KopiLuwak_JS_Jul19_1,Russian Threat Groups,Valhalla Rule Feed Only,Detects Turla group KopiLuwak JS,https://securelist.com/turla-renews-its-arsenal-with-topinambour/91687/,51 / 72,4a85710269ac1bd27e297ebc3bca896f63fccbe2e3f219b23fe07ac0a471388f,https://www.virustotal.com/gui/file/4a85710269ac1bd27e297ebc3bca896f63fccbe2e3f219b23fe07ac0a471388f,#apt #turla #kopiluwak #russianthreatgroups #apt_turla_kopiluwak_js_jul19_1
2020-02-28 16:43,APT_Turla_KopiLuwak_JS_Jul19_1,Russian Threat Groups,Valhalla Rule Feed Only,Detects Turla group KopiLuwak JS,https://securelist.com/turla-renews-its-arsenal-with-topinambour/91687/,56 / 73,e4731fcf2b98904d241566e39ce44cd2d45f486a6fe51eaae10b7041d7bf4c41,https://www.virustotal.com/gui/file/e4731fcf2b98904d241566e39ce44cd2d45f486a6fe51eaae10b7041d7bf4c41,#apt #turla #kopiluwak #russianthreatgroups #apt_turla_kopiluwak_js_jul19_1
2020-02-28 16:42,APT_Turla_KopiLuwak_JS_Jul19_1,Russian Threat Groups,Valhalla Rule Feed Only,Detects Turla group KopiLuwak JS,https://securelist.com/turla-renews-its-arsenal-with-topinambour/91687/,53 / 73,4de9e98340cf16f647af5cec6058caf81068451293d9c55421ac4df35eeb1d56,https://www.virustotal.com/gui/file/4de9e98340cf16f647af5cec6058caf81068451293d9c55421ac4df35eeb1d56,#apt #turla #kopiluwak #russianthreatgroups #apt_turla_kopiluwak_js_jul19_1
