Date,Type,Value,malware,Available
2021-05-25,Host,cdnappservice.firebaseio.com,,
2021-05-25,Host,dataplane.theyardservice.com,,
2021-05-25,Host,usaid.theyardservice.com,,
2021-05-25,Host,worldhomeoutlet.com,,
2021-05-25,Host,static.theyardservice.com,,
2021-05-25,Host,newsplacec.com,,
2021-05-26,Host,theyardservice.com,,
2021-05-28,File,a6a2ef55b2ec7dd247dd2977af27a6acccc3bb69449175b246ea7835b40947a8,EnvyScout,
2021-05-28,File,076b5eab4b6a2ba87632218213908d9c2a7684629ecc3f2d30ad3cf23024aa33,EnvyScout,
2021-05-28,File,076b5eab4b6a2ba87632218213908d9c2a7684629ecc3f2d30ad3cf23024aa33,EnvyScout,ok
2021-05-28,File,72ecba53877d5770e3c097fe84620cdb848edb5bd627628885b13a5e242d8831,EnvyScout,ok
2021-05-29,File,a6a2ef55b2ec7dd247dd2977af27a6acccc3bb69449175b246ea7835b40947a8,EnvyScout,ok
2021-05-29,File,1eb4ce329e339e35fe82b2a2046a202562a11968a9080b20ea77d8a1211763ee,EnvyScout,ok
2021-05-29,File,d462a1e98e6698debf6f32f9eab4f5137ab194f8e6cdda971ebec16403b0799a,EnvyScout,ok
2021-05-29,File,c95553a61737cf5bd154fc530d14651320bf1765a93363caa266146310ae3c2b,EnvyScout,ok
2021-05-29,File,8df6ba945aee768c422eb69a7a3c7d095bb55edb9959532a71db4711fc67f7c8,EnvyScout,ok
2021-05-29,File,541d3868c3f75bbc3f6747e653e9907d12e5d4eacf74e311d37d5b7d0574a94b,EnvyScout,ok
2021-05-29,File,c95553a61737cf5bd154fc530d14651320bf1765a93363caa266146310ae3c2b,EnvyScout,
2021-05-29,File,541d3868c3f75bbc3f6747e653e9907d12e5d4eacf74e311d37d5b7d0574a94b,EnvyScout,
2021-05-29,File,8df6ba945aee768c422eb69a7a3c7d095bb55edb9959532a71db4711fc67f7c8,EnvyScout,
2021-05-29,File,d462a1e98e6698debf6f32f9eab4f5137ab194f8e6cdda971ebec16403b0799a,EnvyScout,
2021-05-29,File,1eb4ce329e339e35fe82b2a2046a202562a11968a9080b20ea77d8a1211763ee,EnvyScout,
2021-05-29,File,72ecba53877d5770e3c097fe84620cdb848edb5bd627628885b13a5e242d8831,EnvyScout,
2021-05-31,File,58bcbb31f0e93602d2a4c1b2e2c932e5398307e6c89ed661b2e9869c7c2afc62,EnvyScout,ok
2021-05-31,File,6dc08be554674d05a630d6f3a5fd851d804ed5360b8d954b5d1096ca25e41e52,EnvyScout,ok
2021-05-31,File,6dc08be554674d05a630d6f3a5fd851d804ed5360b8d954b5d1096ca25e41e52,EnvyScout,
2021-05-31,File,58bcbb31f0e93602d2a4c1b2e2c932e5398307e6c89ed661b2e9869c7c2afc62,EnvyScout,
